Book Title,Authors
Modern electrical construction,Henry Charles Horstmann
Modern electrical construction,Henry Charles Horstmann
Modern electrical construction,Henry Charles Horstmann
Electrical engineer's pocket-book,Horatio A. Foster
Electrical engineer's pocket-book,Horatio A. Foster
"Automatika, radioelektronika ir elektrotechnika",
Hughes electrical and electronic technology,"Hughes, Edward"
Dictionnaire anglais-français de l'électronique et de l'électrotechnique,
Inġilisjă-rusja-azărbai̐janja elektromekhanika terminlări lu̇ghăti,A. Ă. Ăfăndizadă
Frant︠s︡uzsko-russkiĭ ėlektrotekhnicheskiĭ slovarʹ,P. K. Gorokhov
Ot︠s︡enivanie sostoi︠a︡nii︠a︡ v ėlektroėnergetike,A. Z. Gamm
Sot︠s︡ialʹno-professionalʹnye problemy podgotovki inzhenerov-ėlektrotekhnikov,Vladimir Ivanovich Surin
Teoreticheskie osnovy ėlektrotekhniki i ėlektrofiziki,
Standard Handbook for Electrical Engineers,Archer E. Knowlton
Interpreting the National electrical code,Truman C. Surbrook
Interpreting the National electrical code,Truman C. Surbrook
Edison Electric Light Company records,Edison Electric Light Company
National electrical safety code handbook,Allen L. Clapp
National electrical safety code handbook,Allen L. Clapp
Neostvareni patenti Nikole Tesle,Snežana Šarboh
Computational methods for the innovative design of electrical devices,"S. Wiak, Ewa Napieralska-Juszczak"
Computer engineering practice problems for the electrical and computer PE exam,John A. Camara
Transactions,Faraday Society
Transactions,Faraday Society
Transactions,Faraday Society
Transactions,Faraday Society
Transactions,Faraday Society
American Institute of Electrical Engineers,
A matched filter algorithm for acoustic signal detection,Dorsett Weston Jordan
TROPO:  a microcomputer based troposcatter communications system design program,Edward Michael Siomacco
Parameter estimation in communication system tracking satellite observations,Vassilios Ath Tsafaras
VLSI tutorials through the Video-computer Courseware Implementation System,Liesel R. Muth
VLSI design of a sixteen bit pipelined multiplier using three micron NMOS technology,Richard J. Jr Simchik
Voice communications over packet radio networks,Moon Ming Seah
A computation of fin-line impedence,Byungyong Kim
Design of a sixteen bit pipelined adder using CMOS Bulk P-Well technology,William R. Reid
Zeitschrift fr Elektrotechnik,Elektrotechnischer Verein in Wien
An analysis of coherent digital receivers in the presence of colored noise interference,Avraham Hasarchi
Analysis of a digital technique for frequency transposition of speech,Vincent DiGirolamo
Fin line filters technology and electronic warfare,Stamatis Vitalis
Inherent angular tracking error in an amplitude comparison monopulse radar,Dae Hyun Park
The Electrical review,
The Electrical journal,
The Electrical journal,
The Electrical journal,
Generation of an optimum high speed high accuracy operational amplifier,Patrick Jr Gariano
An automatic control design for the Mariner Class Ships,Tayfun Tansan
Electro-technologies,Alberta. Curriculum Standards Branch
Development of a testbed for multisensor distributed decision algorithms,Mark Alan Schon
The use of filters in digital coherent receivers operating in a jamming and noise environment,Damian Macone
Fiber-optic implementation of MIL STD-1553,Robert Stanley Wester
VLSI design with the MacPitts silicon compiler,Robert C. Larrabee
The Electrical review,
The Electrical review,
The Electrical review,
The Electrical journal,
The Electrical review,
The Electrical review,
Western electrician,
Reliability modeling of standby and emergency generating systems,J. Michael Lynch
Proceedings [of the] annual meeting,Canadian Electrical Association
Proceedings [of the] annual meeting,Canadian Electrical Association
The Electrical journal,
The Electrical journal,
Zeitschrift des Elektrotechnischen Vereines in Wien,Elecktrotechnischen Vereines in Wien
A digital recording system for space-based applications utilizing four-megabit magnetic bubble memories,Bruce A. Campbell
Algorithmic study on systolic array structures,Leopoldo Jorge De Souza
"Implementation of a serial communication process for a fault tolerant, real time, multitransputer operating system",Zafer Selcuk
Pacific service magazine,Pacific Gas and Electric Company
Teoreticheskie osnovy ėlektrotekhniki i ėlektrofiziki,
Radiat︠s︡ironnoe ėlektromaterialovedenie,N. S. Kosti︠u︡kov
Applied microbiology and molecular biology in oilfield systems,International Symposium on Applied Microbiology and Molecular Biology in Oil Systems
Digital satellite navigation and geophysics,Ivan G. Petrovski
Proceedings,"International Conference on Computer and Electrical Engineering (2009 Dubai, UAE)"
Design and verification of electrical installations,Brian Scaddan
Stallcup's illustrated code changes,James G. Stallcup
Programming 16-bit PIC microcontrollers in C,Lucio Di Jasio
Principles and practice of engineering (PE),National Council of Examiners for Engineering and Surveying (NCEES)
Principles and practice of engineering (PE),National Council of Examiners for Engineering and Surveying (NCEES)
Principles and practice of engineering (PE),National Council of Examiners for Engineering and Surveying (NCEES)
"Emerging technology, a bridge to the twenty-first century",Institute of Electrical and Electronics Engineers. Region 5.
Encyclopedia of electrical engineering research,Zachary L. Fink
Electrical and Electronic Principles,W. Bolton
Higher engineering science,W. Bolton
American boy's book of electricity,Charles Homer Seaver
Computer engineering reference manual for the electrical and computer PE exam,John A. Camara
Power practice problems for the electrical and computer PE exam / John A. Camara,John A. Camara
Electrical and electronics practice problems for the electrical and computer PE exam,John A. Camara
Practical problems in mathematics for electricians,Stephen L. Herman
Nikola Tesla und die Technik in Graz,"J. W. Wohinz, Friedrich Bouvier"
Introduction to direction-of-arrival estimation,Zhizhang Chen
ASTM standards for electrical protective equipment and occupational protective footwear,American Society for Testing and Materials
Electrical,National Center for Construction Education and Research (NCCER) (U.S.)
ASTM standards for determining the ignitability and arc thermal performance of clothing for use by workers exposed to thermal hazards of momentary electric arcs,ASTM Committee F-18 on Electrical Protective Equipment for Workers
Drives and control for industrial automation,Kok Kiong Tan
Stallcup's OSHA and NFPA 70E electrical regulations simplified,James G. Stallcup
"Internationale elektrotechnische Ausstellung in Frankfurt am Main, 1891",
Electricity 2,Thomas S. Kubala
Electricity 1,Thomas S. Kubala
Electricity for the trades,Frank D. Petruzella
Electronic systems technician,National Center for Construction Education and Research (NCCER) (U.S.)
Elektrotehnika,V. Muljević
Catalogue of the Wheeler gift of books,
AC Machine Systems,Jingde Gao
Advanced Batteries,Robert A. Huggins
Circuitos eléctricos,"Marcos Félix Pedro Deorsola, Pablo Morcelle del Valle"
2010 national electrical estimator,Marc C. Tyler
Fundamental electrical and electronic principles,Christopher R. Robertson
The practical thoughts of a business man,Alonzo C. Mather
2-D signal generation using state-space formulations,Evangelos Theofilou
"Composite Operational Amplifiers and their use in improving bandwidth, speed and accuracy in active networks",Michael A. Luczak
Design of a freestanding noise measurement and recording system to predict the intensity and location of electromagnetic radiation from earthquakes,Mickey V. Ross
The Electrical review,
The Electrical journal,
Alternating Current Fundamentals,Stephen L. Herman
The complete lab manual for industrial electricity,Stephen L. Herman
Electronic Properties of Materials,Rolf E. Hummel
Rules and regulations for the construction of electrical work in the city of Baltimore,Baltimore (Md.)
"Electricity, Magnetism, and Electric Telegraphy: A Practical Guide and Handbook of General ...",Thomas Dixon Lockwood
Cyclopedia of applied electricity,American Technical Society
Elementary electrical calculations,T. O'Conor Sloane
A dictionary of electrical engineering,H. M. Hobart
De los circuitos a los campos 1,Alberto Isidori
Ejercicios resueltos y explicados de circuitos monofásicos en régimen permanente senoidal,"José Fernando Azofra Castroviejo, Diego Azofra Rojo"
Residential construction academy,Stephen L. Herman
Residential Construction Academy Electrical Principles (Residential Construction Academy),Stephen L. Herman
The early diplomatic history of the Nicaragua canal,Lindley Miller Keasbey
Applications in manufacturing,"Robert P. Ouellette, Fred Ellerbusch, Paul N. Cheremisinoff"
AC Circuits,Chad Davis
DC Circuits,Chad Davis
"Practical Electrical Engineering, Direct Currents A Manual For Use In Industrial And Evening Schools And For Home Study",Harry George Cisin
Practical electrical engineering,Charles Henry Walker Biggs
Electrical engineering,George Dudley Aspinall Parr
"Recent legal decisions of interest to electric light, power and street railway plants and telephone companies",The Electrical Record
Basic electricity,Wilbur L. Beauchamp
Die Starkstromtechnik,Wilhelm Bišćan
Résumé de l'histoire de l'electricité et du magnétisme,Antoine César Becquerel
Whittaker's Arithmetic of electrical engineering for technical students and engineers,Arthur Tisso Starr
Henry and Hora's modern electricity,James Henry
Vědecká zasedání k dějinám elektrotechniky,Jan Janko
Electrificarea României de la primele începuturi pînă la anul 1950,
Turning points in American electrical history,James E. Brittain
Research and development in electrical sciences,
Langenscheidt Routledge German dictionary of electrical engineering and electronics,Peter-Klaus Budig
Report,British Columbia. Commission of Inquiry into Electrical Inspection.
Mathematics for electrical technicians,A. Greer
Electrical safety practices,
Understanding NE code rules on-- hazardous (classified) locations,Frederic P. Hartwell
Przepisy eksploatacji urządzeń elektroenergetycznych,Poland
Povrchové akustické vlny,Josef Merhaut
Prace zespołu trakcji elektrycznej Instytutu Podstawowych Problemów Elektrotechniki i Energoelektroniki,
"Elektrotechnik, Elektronik",
Society of Electrical Engineer[s] Nepal,
Inductive Interference Between Electric Power and Communication Circuits ...,California Public Utilities Commission. Joint Committee on Inductive Interference.
Kibernetika i modelirovanie v ėnergetike,"L. A. Melentʹev, V. A. Venikov"
Stallcup's illustrated code changes,James G. Stallcup
Komputerowe projektowanie urządzeń elektroenergetycznych,Jacek Malko
A symposium on aluminium and its alloys in electrical enginering,Aluminium Development Association.
Osnovy ėlektrotekhniki,
Discrete Transforms And Their Applications,Kamisetty Ramamohan Rao
Metody primenenii︠a︡ ėlektronno-vychislitelʹnykh mashin pri optimizat︠s︡ii ėnergeticheskikh raschetov,L. A. Melentʹev
Field reference handbook,National Joint Apprenticeship and Training Committee for the Electrical Industry
Sähköalan säännökset 1977,
"Electrical pioneers of America, their own words",Stephen Tubbs
Electrical engineering,Harlow Freitag
Chinese-English electrical engineering dictionary,United States. Defense Intelligence Agency
General electrical engineering,Philip Kemp
Questions and answers for electricians examinations,Paul Rosenberg
Electrical engineer's reference book,"G. R. Jones, M. A. Laughton, M. G. Say"
Kratŭk anglo-bŭlgarski rechnik na elektromontazhnite termini,
Dian gong cai liao,
Brockhaus ABC Elektrotechnik,Hans Dieter Junge
"Construcții de mașini, electrotehnică, electronică",
Electrical efficiency in industrial plants,Edwin Stoddard Lincoln
Fundamentals of electricity,Kennard Codville Graham
VEM-Taschenbuch Automatisierungs- und Elektroenergie-Anlagen,
Conversations on electricity,Joseph G. Branch
Electricity for refrigeration and air conditioning,Billy C. Langley
Electrical safety abstracts,
Sbornik programmirovannykh zadach po teoreticheskim osnovam ėlektrotekhniki,
Electrotechnishe opstellen,Clarence Paul Feldmann
New electric power technologies,United States. Congress. Office of Technology Assessment
A Dictionary of Soviet electronic abbreviations,Alexander J. Michaels
Szakmai szójegyzék a villanyszerelő szakmunkások részére,
CE marking for low-voltage directive,SWBC International
NJATC code calculations,National Joint Apprenticeship and Training Committee for the Electrical Industry
Elektrotechnik,A. S. Kasatkin
Electricity,Charles Seymour Siskind
"Fachwörterbuch, Elektrotechnik, Elektronik",Peter-Klaus Budig
Reglamentos electrónicos de alta y baja tensión,Spain. Ministerio de Industria.
Illustrated changes of the 1987 NEC,James G. Stallcup
Villamos szerelőipari kézikönyv,
"Elektrotechnik, Elektronik",
Research and development in physics & mathematical sciences,
Practical electrical engineering in utilities and industries,
Standard American electrician,Henry Charles Horstmann
McGraw-Hill's illustrated index to the 1996 National electrical code,John E. Traister
Handbook for electrical service technicians,
Dicionário brasileiro de eletricidade,
Electrical calculations simplified,James G. Stallcup
Soubor vědeckých a odborných prací Fakulty Elektrotechnické,Otakar Gartner
VEM-Handbuch Elektroenergieanlagen,
1981 IEEE Region 6 conference,Institute of Electrical and Electronics Engineers. Region 6.
Teoreticheskai︠a︡ ėlektrotekhnika i mashinnoe proektirovanie ėlektronnykh t︠s︡epeĭ,Georgiĭ Evgenʹevich Pukhov
Everybody's television and radio handbook,Popular Science Publishing Company
Handbook of electrical systems design practices,John E. Traister
Soubor prací Fakulty elektrotechnické za rok 1979 a 1980,
IEEE standard dictionary of electrical and electronics terms,Frank Jay
Curriculum Elektroinstallateur im Handwerk,Erich Dauenhauer
"Elektrotechnik, Elektronik",Peter-Klaus Budig
The true wireless,Nikola Tesla
Thomas Edison and the lightbulb,Angus Phelps
Electrical engineering,
Illustrated changes in the 1996 National electrical code,Frederic P. Hartwell
Fundamentals of electrical engineering,Myril B. Reed
"Spanish/English, English/Spanish glossary of the electric power industry",Pennwell
"Fachwörterbuch Elektrotechnik, Elektronik",Peter-Klaus Budig
Elektromagnit sistemlări vă elektrotekhniki materiallaryn elektrofiziki khassălărinin tădgigi,
Ukazatel na standartite na MEK,International Electrotechnical Commission
The Tesla Project presents the Tesla collection,Iwona Vujovic
Signal flow analysis,John Roger Abrahams
Electrical projects for the school and home workshop,Walter Burton Ford
"Technical dictionary of the terms used in electrical engineering, radio, television, electrical communication",Hans Thali
A Energia elétrica no Brasil (da primeira lâmpada à Eletrobrás,
Journeyman electrician's workbook,James G. Stallcup
Judging electrical hazards,Alliance of American Insurers
The electrical systems design & specification handbook for industrial facilities,Steven J. Marrano
"Senarai istilah umum telekom, elektrik dan panduan jalan raya",Dewan Bahasa dan Pustaka
Electrical and radio dictionary,Carl H. Dunlap
Electrical equipment,Harold Warner Brown
Prelucrarea automată a datelor pentru întocmirea bilanțurilor energetice,
Mathematics for circuits and filters,Wai-Kai Chen
Handbuch Elektrotechnik-Elektronik,Gerhard Linnemann
Under the radar,W. M. Goss
Cyclopedia of engineering,Louis Derr
Practical electricity,"J.F. McPartland, W.J. Novak"
Nikola Tesla,
Significant changes to the NEC 2011,Jim Dollard
Electrical systems for facilities maintenance personnel,Glen Mazur
Spravochnik po ėlektrotekhnicheskim materialam,V. V. Pasynkov
Praktika provedenii︠a︡ funkt︠s︡ionalʹno-stoimostnogo analiza v ėlektrotekhnicheskoi promyshlennosti,M. G. Karpunin
Slovarʹ po ėlektrotekhnike,I︠A︡. N. Luginskiĭ
Ėlektrotekhnicheskiĭ spravochnik,Viktor Grigorʹevich Gerasimov
Fiziko-khimicheskie issledovanii︠a︡ novykh ėlektrotekhnicheskikh materialov,A. T. Logvinenko
Mashinnoe modelirovanie fizicheskikh prot︠s︡essov v ėlektrotekhnicheskikh ustroĭstvakh,V. V. Vasilʹev
Begegnung mit Siemens,
Sicherheit bei elektrischen Anlagen und Ausrüstungen,
Philippine electrical code,
Tesla 1856-2006,Nikola Tesla
Electricity and basic electronics,Stephen R. Matt
Prakticheskoe rukovodstvo k primi︠e︡nenīi︠u︡ ėlektrichestva v promyshlennosti,Ernest Cadiat
Svi︠e︡di︠e︡nīi︠a︡ iz ėlektrotekhniki,
Osnovnye print︠s︡ipy promyshlennago ėlektrichestva,"Janet, Paul"
A directory of computer software applications,United States. National Technical Information Service
Posobīe i spravochnai︠a︡ kniga po vsi︠e︡m otrasli︠a︡m ėlektrotekhniki dli︠a︡ ėlektropraktikov,
Raschet rezhimov ėlektricheskikh sistem,
Russko-frant︠s︡uzskiĭ ėlektrotekhnicheskiĭ slovarʹ,L. A. Chernov
Electrical engineering for non-specialists,Charles A. Gross
The development of electrical technology in the 19th century,United States National Museum.
Metody rascheta ėlektromagnitnykh poleĭ na ĖT︠S︡VM,O. V. Tozoni
Prikladnai︠a︡ ėlektrotekhnika,
Voprosy ėlektromaterialovedenii︠a︡ v tekhnologii ėlementov ėlektrotekhniki i radioėlektroniki,
Elektrotechnik im Wandel der Zeit,
Hughes electrical and electronic technology,"Hughes, Edward"
Funkt︠s︡ionalʹno-stoimostnyĭ analiz v ėlektrotekhnicheskoĭ promyshlennosti,M. G. Karpunin
Dictionnaire anglais-français d'électronique,
Spravochnik po organizat︠s︡ii i mekhanizat︠s︡ii ėlektromontazhnykh rabot na ėlektrostant︠s︡ii︠a︡kh i podstant︠s︡ii︠a︡kh,
Farhang-i muhandisī-i barq va iliktrūnīk,ʻAbbās Pūrzakī
Voprosy ėlektrotekhnicheskogo bazovogo obrazovanii︠a︡ v MĖI,
Ying Han dian ji shu ci hui =,
"Cumulative index to entire IEEE group transactions/journals, 1951-1971",Nichigai Asoshiētsu.
Jinbutsu kinsei erekiteru bunkashi,Eitaro Tamura
Mechanical plumbing / electrical life safety,Architectural License Seminars (Group)
Elettrotecnica radiotecnica contributi scientifici,Giancarlo Vallauri
A laboratory manual of physics and applied electricity,Edward Leamington Nichols
The history of electrical technology,Bernard S. Finn
The electric century,John Negru
Handbook for electrical engineers ...,Harold Pender
Abstract Convexity and Global Optimization,Alexander Rubinov
Audel guide to the 2002 National Electrical Code,Paul Rosenberg
Applied Laser Spectroscopy,W. Demtroder
Alternating current fundamentals,Stephen L. Herman
Alternative Energy Sources,Efstathios Michaelides
Advances in Quantum Phenomena,Enrico G. Beltrametti
Advances in Mechanical and Electronic Engineering,David Jin
Advances in Mechanical and Electronic Engineering,David Jin
"Advances in Numerical Methods
            
                Lecture Notes in Electrical Engineering",John Sakellaris
High-Voltage Engineering,Abdel-SAlAm/Ani
High voltage engineering,
High-voltage engineering,Mohammad Khalifa
High performance AC drives,Sayyid Muk̲h̲tār Aḥmad
Lexikon der Elektrotechnik,Günther Oberdorfer
Linear control systems,Branislav Kisačanin
George Westinghouse,"Jr., Quentin, R. Skrabec"
2003 IEEE General Meeting Power Engineering Society,"IEEE, Power Engineering Society Staff"
Flexible AC Transmission Systems: Modelling and Control,Xiao-Ping Zhang
Lead-acid batteries,Detchko Pavlov
Laser Systems for Photobiology and Photomedicine,A. N. Chester
Kurzes Lehrbuch der Elektrotechnik,Günther Oberdorfer
Fuzzy Sets in Engineering Design and Configuration,H.-J Sebastian
Fuzzy Systems,Hung T. Nguyen
Fortleitung elektrischer Energie längs Leitungen in Starkstrom-und Fernmeldetechnik,Werner Zur Megede
"Future Communication, Computing, Control and Management",Ying Zhang
Future Control and Automation,Mahendra Kumar Trivedi
Fuzzy Models and Algorithms for Pattern Recognition and Image Processing,James C. Bezdek
Fundamentals of Bidirectional Transmission over a Single Optical Fibre,M. Oskar Deventer
Tesla i sverkhsekretnye proekty Pentagona,Oleg Orestovich Fei gin
IUTAM Symposium on Computational Methods for Unbounded Domains,Thomas L. Geers
Lucky strikes-- again,R. W. Lucky
Magnetism and structure in systems of reduced dimension,Robin F. C. Farrow
Low-dimensional structures in semiconductors,"A. R. Peaker, H. G. Grimmeiss"
Lithium-Ion Batteries Hazard and Use Assessment,"Celina Mikolajczak, Michael J. Kahn, Kevin C. White, R. Thomas Long Jr."
Basic concepts for managing telecommunications networks,Lawrence Bernstein
Basic electrical engineering,C. L. Wadhwa
Basic electrical troubleshooting for everyone,Darrel Philip Kaiser
Basic semiconductor physics,Chihiro Hamaguchi
Light-Emitting Diodes,E. Fred Schubert
"Caustics, Catastrophes and Wave Fields",Yu. A. Kravtsov
Cartesian Genetic Programming,Julian Miller
Electronic and Electrical Servicing - Level 3,Ian Sinclair
Electronic engineering,Julia Aldred
Electronic engineering and computing technology,"World Congress on Engineering (2009 London, England)"
Electrotechnique,Théodore Wildi
"Elektrische Starkstromanlagen: Maschinen, Apparate, Schaltungen, Betrieb",Emil Kosack
Elektromagnetische Vertrglichkeit,Adolf Schwab
"Electrical codes, standards, recommended practices and regulations",Robert J. Alonzo
"Electrical codes, standards, recommended practices and regulations",Robert J. Alonzo
Electrical and Electronic Principles and Technology,"John Bird Bsc(Hons),CEng,CSci, CMath, MIEE, FIIE, FIET, FIMA, FCollT"
Electrical & electronic systems,"Storey, Neil."
Electrical engineering 101,Darren Ashby
Electrical engineering handbook,Siemens Teams of Authors
The Electrical Engineering Handbook on CD-ROM,Richard C. Dorf
Electrical engineer's portable handbook,
Electrical Engineering License,Lincoln D. Jones
Comprehensive dictionary of electrical engineering,Phillip A. Laplante
Electrical engineering,Clive Maxfield
Electrical engineering,
Electrical Estimator's Manual,William Penn
Electrical installation work,Brian Scaddan
Electrical installation work,Brian Scaddan
Electrical safety code manual,K. J. Keller
Electrical safety code manual,K. J. Keller
Electrical safety in flammable gas/vapor laden atmospheres,W.O.E. Korver
Electrical shock safety criteria,"International Symposium on Electrical Shock Safety Criteria (1st 1983 Toronto, Ont.)"
Electrical studies for trades,Stephen L. Herman
Electrician,Gary Price
Laboratory manual for use with Electricity and electronics,Dale R. Patrick
Electricity and electronics fundamentals,"Dale R. Patrick, Stephen W. Fardo"
"Electricity for refrigeration, heating, and air conditioning",Russell E. Smith
Electrodeposition,Stojan S. Djokić
"Electromagnetic fields in mechatronics, electrical and electronic engineering","International Symposium on Electromagnetic Fields in Mechatronics, Electrical and Electronic Engineering (2005 Baiona, Spain)"
Electromagnetic foundations of electrical engineering,J. A. Brandão Faria
Electromotive force and measurement in several systems,Sadik Kara
Electron Beam Testing Technology,John T. L. Thong
Exercices et proble  mes d'e lectrotechnique,Luc Lasne
Extended defects in Germanium,Cor L. Claeys
Decentralised Power Generation in the Liberalised EU Energy Markets,Wolfram Jör€
Control Of Fuel Cell Power Systems Principles Modeling Analysis And Feedback Design,Jay T. Pukrushpan
Control of structures,H. H. E. Leipholz
Desulfurization of Hot Coal Gas,Aysel T. Atimtay
EC&M's Electrical Calculations Handbook,John Paschal
The Economic Dynamics of Fuel Cell Technologies,Bureau d'Economie Théorique et Appliquée
Einführung in die Theorie der Schwachstromtechnik,Julius Wallot
Draw the lightning down,"Michael B. Schiffer, Carrie L. Bell"
Computer Aided Design and Design Automation,Wai-Kai Chen
Computer engineering in applied electromagnetism,"S. Wiak, Andrzej Krawczyk"
Continuation and Bifurcations: Numerical Techniques and Applications,Dirk Roose
Modelling and Simulation in Thermal and Chemical Engineering,Jean Thoma
Modern Aspects of Electrochemistry / Volume 40 (Modern Aspects of Electrochemistry),Ralph E. White
Modern cellular automata,Kendall Preston
Modern Electrical Drives,H. Bülent Ertan
Molecular Nanowires and Other Quantum Objects,Alexandre S. Alexandrov
Plasma Technology,Mario Capitelli
Proceedings of the FISITA 2012 World Automotive Congress,Zhongguo qi che gong cheng xue hui
Proceedings of the FISITA 2012 World Automotive Congress,Zhongguo qi che gong cheng xue hui
Proceedings of the FISITA 2012 World Automotive Congress,Zhongguo qi che gong cheng xue hui
Proceedings of the FISITA 2012 World Automotive Congress,Zhongguo qi che gong cheng xue hui
Proceedings of the FISITA 2012 World Automotive Congress,Zhongguo qi che gong cheng xue hui
Proceedings Of The 2011 International Conference On Informatics Cybernetics And Computer Engineering Icce2011 November 1920 2011 Melbourne Australia,Liangzhong Jiang
Proceedings of the 1st International Workshop on High-Speed and Intercity Railways,Yi-Qing Ni
"Photo-excited processes, diagnostics, and applications",A. Peled
Photonic Crystal Fibres,Anders Bjarklev
Electrical principles,Stephen L. Herman
Roadmap on Photonic Crystals,Susumu Noda
Ingeniare,Universidad de Tarapacá. Facultad de Ingeniería
Personal wireless communications,"IFIP TC6/WG6.8 Working Conference on Personal Wireless Communications (2000 Gdańsk, Poland)"
Progress in Scale Modeling,Kōzō Saitō
Practical Spectroscopy of High-Frequency Discharges,Sergei A. Kazantsev
Power struggles,Michael B. Schiffer
Power system capacitors,Ramasamy Natarajan
Practical Applications of Fuzzy Technologies,Hans-Jürgen Zimmermann
Practical Matlab Basics for Engineers (Practical Matlab for Engineers),Misza Kalechman
Planar Circuits for Microwaves and Lightwaves,Takanori Okoshi
Picture CSS3,Matthew David
RFID-Enabled Sensor Design and Applications,Amin Rida
Relativity and Engineering,Jean Bladel
Reliability assessment of electric power systems using Monte Carlo methods,Roy Billinton
Reaktorsicherheit für Leistungskernkraftwerke,Paul Laufs
"Reciprocity, spatial mapping, and time reversal in electromagnetics",C. Altman
Quantum Information with Continuous Variables,Samuel L. Braunstein
Quantum measurements in optics,"P. Tombesi, D. F. Walls"
Quantum mechanics for electrical engineers,Dennis Michael Sullivan
Quantum Optics and Fundamentals of Physics,Jan Peřina
Materials for High Temperature Engineering Applications,Geoffrey W. Meetham
Methods and materials for remote sensing,Yuri Abrahamian
Optimization in the Energy Industry,Panos M. Pardalos
Optical Detectors For Astronomy II,Paola Amico
Optimal Flow Control in Manufacturing Systems,Oded Maimon
Optimization Methods and Applications,Xiaoqi Yang
Operating System,M Naghibzadeh
"Network Control and Engineering for QoS, Security and Mobility II","IFIP TC6/WG6.2 & WG6.7 International Conference on Network Control and Engineering for QoS, Security, and Mobility (2nd 2003 Muscat, Oman)"
Newnes electrical power engineer's handbook,D. F. Warne
Omnidirectional Optical Filters,Vladimir Kochergin
National electrical code,National Fire Protection Association (United States)
National electrical safety code,
National Electrical Code 2002 - Looseleaf Version (National Electrical Code (Looseleaf)),NFPA
Maximum-Entropy and Bayesian Methods in Science and Engineering,Gary J. Erickson
Maximum-Entropy and Bayesian Methods in Science and Engineering,Gary J. Erickson
Maximum Entropy and Bayesian Methods,Paul F. Fougère
McGraw-Hill National Electrical Code 2008 Handbook,Brian J McPartland
Measures of Complexity and Chaos,Neal B. Abraham
Mathematical Models in Electrical Circuits: Theory and Applications,C. A. Marinov
Multicriteria Design,Roman B. Statnikov
Multidimensional filter banks and wavelets,"Sankar Basu, Bernard C. Levy"
Multielement System Design in Astronomy and Radio Science,Lazarus E. Kopilovich
Multi-Valued and Universal Binary Neurons,Igor N. Aizenberg
Multi-wafer rotating MEMS machines,Jeffrey Lang
Nuclear Energy,Watt Committee on Energy Publications
Noniterative Coordination in Multilevel Systems,Todor Stoilov
Nonlinear and adaptive control of complex systems,A. L. Fradkov
Nonlinear Control Synthesis for Electrical Power Systems Using Controllable Series Capacitors,N S. Manjarekar
Nonlinear Optical Waves,A. I. Maimistov
"Nonlinear Optics in Telecommunications
            
                Advanced Texts in Physics Paperback",Thomas Schneider
Nonlinear Superconductive Electronics and Josephson Devices,G. Costabile
Hausdorff Approximations,B. Sendov
Handbuch Elektrotechnik,"Wilfried Plassmann, Detlef Schulz"
Harnessing variable renewables,International Energy Agency
Handbook of electrical design details,
Handbook Of Electronic Materials,A. J. Moses
Ėlektrobezopasnostʹ pri ėkspluatat͡sii ėlektroustanovok napri͡azheniem do 1000 V,G. A. Dulit͡skiĭ
Filter Design With Time Domain Mask Constraints: Theory and Applications,Ba-Ngu Vo
Frequency-resolved optical gating,R. Trebino
Introductory electromagnetics,Herbert P. Neff
Istorii︠a︡ razvitii︠a︡ ėlektrotekhniki v Sankt-Peterburge,B. I. Ivanov
Integrated network management VIII,"IFIP/IEEE International Symposium on Integrated Network Management (8th 2003 Colorado Springs, Colo.)"
Introduction to Communication Science and Systems,John R. Pierce
Direct current fundamentals,Stephen L. Herman
Innovation diffusion and political control of energy technologies,Karl Matthias Weber
Intelligent Control and Innovative Computing,Sio-Iong Ao
"2011 International Conference in Electrics Communication and Automatic Control Proceedings
            
                Lecture Notes in Electrical Engineering",Ran Chen
"International glossary of biochemistry, construction, energy & power engineering",Victor Bishop
Infrared Absorbing Dyes,Masaru Matsuoka
Interfacial phenomena in electrocatalysis,C. G. Vayenas
Interferometry in Radioastronomy and Radar Techniques,R. Wohlleben
Grundkurs Leistungselektronik,Joachim Specovius
Guidance Note 7,Institution of Electrical Engineers.
Fundamentals of electricity,Joel Goldberg
Codes on Algebraic Curves,S. A. Stepanov
Coherent optical interactions in semiconductors,R. T. Phillips
CLEAN,Michael Kuhn
"The Circuits and Filters Handbook, Third Edition (Six Volume Slipcase Set)",Wai-Kai Chen
Berechnung von Drehstromnetzen,Bernd Oswald
Boilers and Burners,Prabir Basu
Batteries for Sustainability,R. J. Brodd
Battery Hazards and Accident Prevention,Samuel C. Levy
Combustion in High-Speed Flows,John Buckmaster
Combustion of Two-Phase Reactive Media,L. P. Yarin
CompTIA A+ Complete Deluxe Study Guide Recommended Courseware: Exams 220-801 and 220-802,"Quentin Docter, Emmett Dulaney, Toby Skandier"
Computational Intelligence For Engineering Systems Emergent Applications,Zita Vale
Acoustic Signal Processing for Ocean Exploration,José M. F. Moura
Advanced Computing in Electron Microscopy,Earl J. Kirkland
Advanced Manufacturing Technology in China: A Roadmap to 2050,Tianran Wang
Advances In Automation And Robotics,Gary Lee
Advances In Automation And Robotics Selected Papers From The 2011 International Conference On Automation And Robotics Icar 2011 Dubai December 12 2011,Gary Lee
Advances in Biofuels,Ravindra Pogaku
Advances in Computing and Information Technology,Natarajan Meghanathan
Advances in Computing and Information Technology,Natarajan Meghanathan
Advanced Verification Techniques,"Leena Singh, Leonard Drucker"
