Book Title,Authors
The Unknown Component Problem,"Tiziano Villa, Robert K. Brayton, Alan Mishchenko, Alexandre Petrenko, Alberto Sangiovanni-Vincentelli, Nina Yevtushenko"
All about house wiring,Floyd M. Mix
American electricians' handbook,"Terrell Croft, Wilford I. Summers, Frederic P. Hartwell"
Precalculus mathematics,Karl J. Smith
Graded Exercises in Electrical and Electronic Engineering,Christopher R. Robertson
Introduction to electricity and electronics,Orla E. Loper
Japanese Speech Synthesis,Jeffry H. Shirai
The foundations of fuzzy control,Harold W. Lewis
Detection of low-level optical signals,M. A. Trishenkov
NEC and You Perfect Together,Gregory P. Bierals
Modern Electronics and Communication Engineering,M.L. Anand
The boy electrician,Alfred Powell Morgan
"Canadian electrical code, part I",Canadian Standards Association.
Power systems engineering and mathematics,U. G. Knight
Dictionary of electrical engineering,Kenneth George Jackson
Hydro in Ontario,Ontario. Task Force Hydro.
Applied electricity,"Cotton, H."
Electrical technology,"Cotton, H."
Profiles--electrical/electronics engineering,John A. Scopino
Introduction to electrical engineering,Robert Page Ward
Experimental electrical engineering and manual for electrical testing for engineers and for students in engineering laboratories,Vladimir Karapetoff
Einführung in die Theorie der Schwachstromtechnik,Julius Wallot
Mathematics for telecommunications and electrical engineering,Douglas Frank Spooner
Essentials of electricity,William Henry Timbie
Industrial-arts electricity,Clifford Keith Lush
The protective gear handbook,M. Kaufmann
Electrical engineering 101,Darren Ashby
Electrical Engineer's Portable Handbook,Robert B. Hickey
Particle Accelerators Colliders and the Story of High Energy Physics,Raghavan Jayakumar
Advances In Heuristic Signal Processing And Applications,Amitava Chatterjee
Thermodynamik,Hans Dieter Baehr
Electrical estimating,Ray Ashley
Physics of New Laser Sources,F. T. Arecchi
Mars,Viorel Badescu
A laboratory manual of physics and applied electricity,Edward Leamington Nichols
Applied Electromagnetics,Stuart M. Wentworth
High Impulse Voltage and Current Measurement Techniques,Klaus Schon
Global Climate Change The Technology Challenge,Frank Princiotta
Mathematical and numerical modelling in electrical engineering theory and applications,"Michal Krízek, Pekka Neittaanmäki"
Machine learning for email,Drew Conway
Elektrotechnik für Ingenieure 2,Wilfried Weißgerber
Electrical engineering,"Ralf Kories, Heinz Schmidt-Walter"
Electrical installations in hazardous locations,Peter J. Schram
Drehstrommaschinen im Inselbetrieb,Hartmut Mrugowsky
Estimator's electrical man-hour manual,John S. Page
Proceedings of the 1st International Workshop on High-Speed and Intercity Railways,Yi-Qing Ni
Metaltononmetal Transitions,Ronald Redmer
Optimal traffic control,"Slobodan Guberinić, Slobodan Guberinic, Gordana Senborn, Bratislav Lazic"
Scalable network monitoring in high speed networks,Baek-Young Choi
Nuclear Energy,Nicholas Tsoulfanidis
Handbook For Heat Exchangers And Tube Banks Design,Donatello Annaratone
Intelligent Energy Demand Forecasting,Wei-Chiang Hong
Guided-Wave Optoelectronics,Theodor Tamir
III-V compound semiconductors,"Tingkai Li, Michael A. Mastro, Armin Dadgar"
Closed Power Cycles,Costante Mario Invernizzi
Advances In Computer Communication Control And Automation,Yanwen Wu
Space based radar,"S. Unnikrishna Pillai, Ke Yong Li, Braham Himed"
Space-time processing for CDMA mobile communications,"Pieter Van Rooyen, Pieter van Rooyen, Michiel P. Lötter, Danie van Wyk"
Semiconductor Physical Electronics,Sheng S. Li
Circuit analysis by laboratory methods,Carl Eric Skroder
Applied electromagnetism,Liang Chi Shen
Basic mathematics for electronics,"Nelson Magor Cooke, Nelson M. Cooke, Herbert F. R. Adams, Peter B. Dell, T. Adair Moore"
Waves and particles in light and matter,"Alwyn Van der Merwe, Augusto Garuccio"
House rating schemes,Maria Kordjamshidi
Electrical engineering laboratory experiments,C. W. Ricker
Nikola Tesla,Nikola Tesla
Selected Topics in Nonlinear Dynamics and Theoretical Electrical Engineering,Kyandoghere Kyamakya
SystemVerilog for Verification,Chris Spear
Support vector machines for antenna array processing and electromagnetics,"Manuel Martinez-Ramon, Christos Christodoulou, Manel Martinez Ramon"
The elements of electrical engineering,Tyson Sewell
Mechanical and electrical equipment for buildings,"Gay, Charles Merrick"
Fire in Paradise,"Alastair Gee, Dani Anguiano"
Electrical engineering,Ernst Julius Berg
Essentials of electrical engineering,John Fay Wilson
Practical electricity,Robert Gordon Middleton
Electrical engineering leaflets,Edwin J. Houston
Standard handbook for electrical engineers,Frank Fuller Fowle
CMOS VLSI design,"Neil H. E. Weste, Neil Weste, David Money Harris"
The practical dictionary of electricity and electronics.,Ruth L. Oldfield
A course in electrical engineering ..,Chester L. (Chester Laurens) Dawes
Electrical and electronic technologies,Henry B. O. Davis
Electrical and Electronic Principles,S.A. Knight
Schedule of Rates for Electrical Services,Property Services Agency
Verification by error modeling,Katarzyna Radecka
Polynomial and Rational Matrices,Tadeusz Kaczorek
Electrical technology,"T. Baitch, Eric Connally, Deborah Hughes-Hallett"
The Edisons Of Fort Myers,Tom Smoot
The commissioning of electrical plant and associated problems,Ralph Cyril H. Richardson
Electric contacts,"Ragnar Holm, Else Holm"
Nichtlineare Elektrotechnik,Eugen Philippow
Introduction to practical radio,Durward J. Tucker
Essentials of electricity for radio and television,Morris Slurzberg
Modern marine electricity,Percy de Willard Smith
The electric power engineers' handbook,Willie Waite Skirrow Ibbetson
Engineering electromagnetics,David T. Thomas
Projektowanie urządzeń elektroenergetycznych,Jan Strojny
Telecommunication principles for Final Certificate,S. A. Knight
Proceedings,"Electrical Insulation Conference and Electrical Manufacturing Coil Winding Conference (2001 Cincinnati, Ohio)"
Naval electricians' text book,William Hannum Grubb Bullard
Probability and Random Processes for Electrical and Computer Engineers,John A. Gubner
Electrical and electronic principles and technology,"Bird, J. O."
Handbook to IEEE Standard 45,Mohammed M. Islam
Electronics Mathematics,Robert Donovan
Principles of applied electricity,A. M. Howatson
Fundamentals of electrical engineering,Leonard S. Bobrow
Operator approach to linear control systems,A. Cheremensky
"Industrial applications in power systems, computer science, and telecommunications","Mediterranean Electrotechnical Conference (8th 1996 Bari, Italy)"
"Ugly's Electrical Safety and NFPA 70E, 2018 Edition",Charles R. Miller
When Old Technologies Were New,Carolyn Marvin
Intelligent and Reliable Engineering Systems,"Nikesh Kumar, Len Gelman, Arun Kumar Bar, Satyajit Chakrabarti"
1996 IEEE Digital Signal Processing Workshop,"IEEE Digital Signal Processing Workshop (7th 1996 Loen, Norway), Norway) IEEE Digital Signal Processing Workshop (7th : 1996 : Loen, Norsig (Firm), John M. Lervik, Patrick Waldemar"
A history of electric light & power,"Brian Bowers, B. Bowers"
Emerging Non-Volatile Memories,"Seungbum Hong, Orlando Auciello, Dirk Wouters"
"MELECON '98, 9th Mediterranean Electrotechnical Conference","Mediterranean Electrotechnical Conference (9th 1998 Tel-Aviv, Israel)"
Yellow book,International Telegraph and Telephone Consultative Committee. Geneva
Solutions manual to accompany Power system analysis and design with personal computer applications,"J. Duncan Glover, J.Duncan Glover, Mulukutla S. Sarma"
Essential formulae for electronic and electrical engineers,Noel Malcolm Morris
Bell Labs,Narain Gehani
Mathematics for electricity and electronics,Arthur D. Kramer
Principles of electronic materials and devices,S. O. Kasap
Bericht über die Internationale Elektrische Ausstellung Wien 1883,Franz Klein
Electrical Engineering,Edward Karalis
ASTM standards on electrical protective equipment for workers,"ASTM Committee F-18 on Electrical Protective Equipment for Workers., ASTM Committee F-18 on Electrical Protective Equipment for Workers"
La physique moderne,É. Hospitalier
Electrical engineering for electric light artizans and students,W. Slingo
"Electrical machines, drives, and power systems",Théodore Wildi
Hilfsbuch für die Elektrotechnik,Carl Grawinkel
Principles of electrical engineering,John Joachim D'Azzo
Technical electricity and electronics,Peter Buban
Understanding Electricity and Electronics Technology,Peter Buban
Englantilais-suomalainen elektroniikka- ja instrumentointisanasto,Lea Saarikoski
Electronic thin film science,"K. N. Tu, King-Ning Tu, James W. Mayer, Leonard C. Feldman"
Industrial Electrical Wiring,John T. Earl
Phase noise in signal sources,"Robins, W. P."
Fachwörterbuch Elektrotechnik,Hans Fritz Schwenkhagen
Diccionario tecnológico inglés-español,F. Franco Ibeas
Manual of electromechanical devices,Douglas C. Greenwood
NESC handbook,Allen L. Clapp
Electricity and electronics,Saul A. Ritterman
National electrical safety code,United States. National Bureau of Standards.
Electrical engineering,Peter Kingsford
Intrinsically safe instrumentation,Robin Garside
Deutsch-ukrainisches elektrotechnisches Wörterbuch,Michael Sawczuk
Electrician's exam prep,Charles R. Miller
Electricity One-Seven,Harry Mileaf
Mathematical methods in electrical engineering,Thomas B. A. Senior
Questions and answers for electricians examinations,Edwin P. Anderson
Engineering design for electrical engineers,Alan D. Wilcox
Advances in electrical engineering software,"International Conference on Electrical Engineering Analysis and Design (1st 1990 Lowell, Mass.)"
Digital computations in basic circuit theory,Lawrence P. Huelsman
"Dictionnaire français-anglais des termes relatifs à l'électronique, l'électrotechnique, l'informatique et aux applications connexes",Henry Piraux
Crystalline semiconducting materials and devices,"Paul N. Butcher, Norman H. March, M. P. Tosi"
Electrical Engineering,Lincoln D. Jones
Practice  problems for the electrical and computer engineering PE exam,John A. Camara
Information Innovation Technology in Smart Cities,"Leila Ismail, Liren Zhang"
"Green Materials for Energy, Products and Depollution","Eric Lichtfouse, Jan Schwarzbauer, Didier Robert"
Hierarchical Nanostructures for Energy Devices,"Seung H. Ko, Costas P. Grigoropoulos, Liwei Lin, Emmanuel Stratakis, Nico Hotz"
Quantitative Recombination and Transport Properties in Silicon from Dynamic Luminescence,Johannes Giesecke
The electrician's pocket-book,Édouard Hospitalier
Computational Electromagnetics,Thomas Rylander
Gaseous Dielectrics X,"Loucas C. Christophorou, James K. Olthoff, Panayota Vassiliou"
Hot Carriers in Semiconductors,"Karl Hess, J.P. Leburton, U. Ravaioli"
The pictorial workbook of the code,"Henry, Tom"
Electrical contracting,Louis John Auerbacher
Electrical and Electronic Principles and Technology,John Bird
Polymer Photovoltaics,"Jianhui Hou, Yukata Matsuo, Hin-Lap Yip, Hin-Lap Yip, Zhishan Bo"
International Congress on Energy Efficiency and Energy Related Materials,"Ahmet Yavuz Oral, Zehra Banu Bahsi, Mehmet Ozer"
Kaisetsu Denki setsubi no gijutsu kijun,Genshiryoku Anzen Hoan'in (Japan)
"Electrical apparatus for use in zone 20, zone 21 and zone 22 hazardous (classified) locaations",
Computational methods for electric power systems,Mariesa Crow
McGraw-Hill's handbook of electrical construction calculations,"Joseph F. McPartland, Brian J. McPartland, Steven P. McPartland, Jack Pullizzi"
Advances in high voltage engineering,D. F. Warne
Scientific computing in electrical engineering,Angelo Marcello Anile
Trends in electric utility research,"Clark W. Bullard, C. Bullard, P. Womeldorff"
Direct-contact heat transfer,"Frank Kreith, R. F. Boehm"
"Technical dictionary of technical terms used in electrical engineering, radio, television, telecommunication",Hans Thali
Mathematical methods in electrical engineering,Myril B. Reed
High-performance packet switching architectures,Mounir Hamdi
RESTful Java with JAX-RS,Bill Burke
Theory and calculation of electric circuits,Charles Proteus Steinmetz
Electrical Engineering: The Theory and Characteristics of Electrical ..,Clarence Victor Christie
Electricity and Magnetism for Engineers,Harold Pender
Fully Charged,Steve Parker
Electrical installation calculations,A. J. Watkins
Electricity for technicians,"Marcus, Abraham."
Induction accelerators,Ken Takayama
NFPA 70E,National Fire Protection Association.
Basic electrical principles,Maurice Grayle Suffern
Fundamentals handbook of electrical and computer engineering,Sheldon S. L. Chang
Higher electrical engineering,J. Shepherd
Design for electrical and computer engineers,"Ralph M. Ford, Ralph Ford, Chris Coulston"
A guide to the electrical contractor's exam,Alan Stanfield
Circuits and machines in electrical engineering,John O. Kraehenbuehl
