Book Title,Authors
Sociopathic knowledge bases,David C. Wilkins
What Neural Networks Can Do,"Anderson, J. A."
"Digital Culture and Society : Vol. 4, Issue 1/2018 - Rethinking AI","Annika Richterich, Karin Wenz, Mathias Fuchs, Pablo Abend, Ramón Reichert"
Geist aus der Maschine,Heinz Liebscher
Integrated Distributed Intelligent Systems for Engineering Design,"Ming Rao, Qun Wang, Ji Zhou"
Turbo Prolog toolbox,Borland
L'ordinateur-penseur,Rolland Hurtubise
"Analysis of images, social networks and texts",Russia) AIST (Conference) (3rd 2014 Ekaterinburg
The Myth of Artifical Intelligence,Erik J. Larson
Artificial intelligence,"Fred D'Ignazio, Allen L. Wold"
The Startup Wife,Anam Tahmima Anam
Sally Singletary's curiosity,J. M. Cataffo
Beginning Game AI with Unity,Sebastiano M. Cossu
Implementing AI Systems,Tom Taulli
Rudiments of a real-world theory of man-computer problem solving,Harold Sackman
Stages of problem solving with and without computers,Harold Sackman
Robot Zombies,"Xaviant Haze, Estrella Eguino"
"Connected, Intelligent, Automated",N. M. Radziwill
Nature Inspired Problem-Solving Methods in Knowledge Engineering,"José Mira, José R. Álvarez"
Practical Planning,David E. Wilkins
Losing the Head of Philip K. Dick,David Dufty
Constructive knowledge acquisition,F. Schmalhofer
Cognitive Support for Learning,Piet A. M. Kommers
Smart Apples,Delton T. Horn
Intelligent Systems and Applications,"W. C. -C Chu, H. -C Chao, S. J. -H Yang"
Agent sourcebook,A. Caglayan
Mind tools,Alfred B. Bortz
"Modern Warfare, Intelligence and Deterrence",The Economist
Handbook of Machine Learning,Tshilidzi Marwala
Integrational Linguistics Perspectives on Animal Personhood and the Law,Christopher Hutton
ECAI 96,"European Conference on Artificial Intelligence (12th 1996 Budapest, Hungary)"
Wildlife,"James Patrick Kelly, James P. Kelly"
2000 IEEE Intelligent Network Workshop proceedings,"IEEE Intelligent Network Workshop (2000 Cape Town, South Africa)"
Artificial intelligence in design '00,"International Conference on Artificial Intelligence in Design (6th 2000 Worcester, Mass.)"
Artificial intelligence and computer games,Richard Bartle
Proceedings of the Twelfth International Florida AI Research Society Conference,"Florida AI Research Symposium (12th 1999 Orlando, Fla.)"
Intelligent systems,"ISCA International Conference on Intelligent Systems (8th 1999 Denver, Colo.)"
"Computers, Minds, and Robots",William S. Robinson
Robot winogradien et compréhension de l'espagnol,Maria Feliza Verdejo
Informática no direito,Aires José Rover
Proceedings,"National Conference on Artificial Intelligence (19th 2004 San Jose, Calif.)"
Artificial intelligence applications and innovations,"TC12 International Conference on Artificial Intelligence Applications and Innovations (1st 2004 Toulouse, France)"
TIME-ICTL 2003 : 10th International Symposium on Temporal Representation and Reasoning,"International Symposium on Temporal Representation and Reasoning (10th 2003 Cairns, Qld.)"
11th IEEE International Conference on Tools With Artificial Intelligence,IEEE Computer Society
"11th IEEE Symposium on Computer-Based Medical Systems: June 12-14, 1998 Lubbock, Texas, USA",IEEE Computer Society
Learning systems and intelligent robots,"U.S.-Japan Seminar on Learning Control and Intelligent Control Gainesville, Fla. 1973."
Proceedings of the Third Milwaukee Symposium on Automatic Computation and Control =,Milwaukee Symposium on Automatic Computation and Control (3rd 1975)
MSAC2 76,IEEE Milwaukee Symposium on Automatic Computation and Control (4th 1976)
Conference record,"Joint Workshop on Pattern Recognition and Artificial Intelligence Hyannis, Mass. 1976."
Bones,Richard Barber
Decision making under uncertainty,Jerry Felsen
Theoretical approaches to non-numerical problem solving,Systems Symposium Case Western Reserve University 1968.
Theory of problem solving,Ranan B. Banerji
Methoden der maschinellen Intelligenz,Oskar Itzinger
"SYM-1, a program that detects symmetry of variable-valued logic functions",Gerald M. Jensen
Artificial intelligence,Kay Rodgers
Artificial intelligence: the heuristic programming approach,James R. Slagle
Software engineering,"Computer and Information Sciences Symposium Miami Beach, Fla. 1969."
Artificial intelligence and pattern recognition in computer aided design,"IFIP TC-5 Working Conference on Artificial Intelligence and Pattern Recognition in Computer Aided Design (1978 Grenoble, France)"
Pattern recognition,M. M. Bongard
Problema uznavanii͡a︡,M. M. Bongard
Proceedings,"International Joint Conference on Artificial Intelligence (1st 1969 Washington, D.C.)"
Computer oriented learning processes,Nato Advanced Study Institute on Computer Oriented Learning Processes Château de Bonas 1974.
Research on computer aided testing of pilot response to critical in-flight events,Walter C. Giffin
A system monitor for programs in artificial intelligence,Tze-Wah Wong
"Sprache, Technik, Kybernetik",Herbert E. Bruderer
Current trends in AI planning,"European Workshop on Planning (2nd 1993 Vadstena, Sweden)"
Evaluation of multilingual and multi-modal information retrieval,Cross-Language Evaluation Forum. Workshop
Pensée symbolique et Intuition,Michel Bourdeau
The Fifth Annual Ai Systems in Government Conference,Barry G. Silverman
Advances in Artificial Intelligence,James C. Bezdek
Tezisy dokladov i soobshcheniĭ,"Vsesoi͡uznyĭ simpozium ""Iskusstvennyĭ intellekt i avtomatizat͡sii͡a issledovaniĭ v matematike"" (1978 Kiev, Ukraine)"
Fuzzy logic for beginners,Masao Mukaidono
Processing deep structures in a generalized intelligent query processor for decision support,R. H. Bonczek
"Sprache und Gehirn, Elemente der Kommunikation",Hermann Schnabl
"Proceedings of 2001 International Symposium on Intelligent Multimedia, Video and Speech Processing","International Symposium on Intelligent Multimedia, Video and Speech Processing (1st 2001 Hong Kong, China)"
"Ro-Man'95 Tokyo: 4th IEEE International Workshop on Robot and Human Communication, July 5-7, 1995, Waseda University, Tokyo, Japan",IEEE Industry Applications Society
An architecture for adaptive intelligent systems,Barbara Hayes-Roth
Implications of human patterns processing for the design of artificial knowledge systems,Barbara Hayes-Roth
The year of the robot,Wayne H. Chen
"Myshlenie cheloveka i ""iskusstvennyĭ intellekt""",I͡Uriĭ Veniaminovich Orfeev
Introduction to AI and expert systems I,Randall Davis
Knowledge-based systems in artificial intelligence,Randall Davis
Graphical belief modeling,Russell G. Almond
STRUTEX,"Rogers, James L."
Menschliches und maschinelles Denken,Martin Kulp
Human brain and computers,C. D. Stamopoulos
Die Systemphilosophie lernender Automaten in der Anwendung auf Autopiloten,Klaus Joachim Brauser
Application of artificial intelligence to space station,James W. McKee
Applications of artificial intelligence to space station and automated software techniques,James W. McKee
Migrating characters,Michael Kruppa
Ordinateurs et comportement conscient?,Jean Schweitzer
"NETL, a system for representing and using real-world knowledge",Scott E. Fahlman
A system for representing and using real-world knowledge,Scott E. Fahlman
Dismantling the memory machine,Howard Alexander Bursen
Applying knowledge compilation techniques to model-based reasoning,Richard Keller
Artificial intelligence support for scientific model-building,Richard Keller
RCS Handbook 1st Edition with Intelligent Systems 1st Edition Set,Veysel Gazi
Ontology learning for the semantic Web,Alexander Maedche
Agrawala Machine Recognition of Patterns,AK AGRAWALA
1996 IEEE International Conference on Intelligent Systems Applications to Power Systems (Isap,Institute of Electrical and Electronics Engineers
1996 Workshop on Temporal Representation and Reasoning (Time,Institute of Electrical and Electronics Engineers
"Fifth International Conference on Computational Intelligence and Multimedia Applications: Iccima 2003, 27-30 September, Xi'an, China",Institute of Electrical and Electronics Engineers
Idaacs '2001: Proceedings of the International Workshop on Intelligent Data Acquisition and Advanced Computing Systems : Technology and Applications,Institute of Electrical and Electronics Engineers
"International Conference on Integration of Knowledge Intensive Multi-Agent Systems: Kimas '03: Modeling, Exploration, and Engineering",Institute of Electrical and Electronics Engineers
Ninth IEEE Symposium on Computer-Based Medical Systems,Institute of Electrical and Electronics Engineers
Artificial Intelligence,Robert L. Perry
Thigmoo,Eugene Byrne
Advances in Intelligent Autonomous Systems (Microprocessor-Based and Intelligent Systems Engineering),Spyros G. Tzafestas
10th Knowledge-Based Software Engineering Conference (Kbse-95,Institute of Electrical and Electronics Engineers
"1995 IEEE International Conference on Evolutionary Computation, the University of Western Australia, Perth, Western Australia, 29 November-1 December,",Institute of Electrical and Electronics Engineers
The GOD MACHINE,Martin Caidin
The Complete Roderick,John Sladek
Competitive Technology Intelligence,Savage
Knowledge in Flux,Peter Gärdenfors
Artificial Intelligence and Education,Masoud Yazdani
Arguing A.I,Sam Williams
Artificial intelligence,Jack Kurzweil
The Age of Spiritual Machines,Ray Kurzweil
The Ninth Conference on Artificial Intelligence for Applications,IEEE Computer Society
Proceedings of the Workshop on Physics-Based Modeling in Computer Vision,IEEE Computer Society
"Qualitative Vision, 1993 IEEE Workshop on (Wqv '93)",IEEE Computer Society
Seventh International Conference on Tools With Artificial Intelligence: Proceedings,IEEE Computer Society
Workshop on Computer Architecture for Pattern Analysis & Machine Intelligence (Capami '87),IEEE Computer Society
Banking technology as a competitive weapon,James Essinger
Artificial Intelligence and Intelligent Tutoring Systems,Danny Kopec
"Ecai 94: 11th European Conference on Artificial Intelligence August 8-12, 1994, Amsterdam, the Netherlands",A. G. Cohn
Artificial Intelligence,James Essinger
Studies of Brain Function,Gunther Palm
Foundations of Knowledge Base Management,Schmidt. Joachim W.
Semantic Management of Middleware (Semantic Web and Beyond),Daniel Oberle
Distributed Artificial Intelligence,Mark Klein
Probabilistic Approaches to Natural Language,Robert Goldman - undifferentiated
An overview of agent technology,Siani Pearson
The Starsight Project,S. P. Perone
March of the Machines,Kevin Warwick
Artificial Intelligence in Reactive Scheduling (IFIP International Federation for Information Processing),Roger Kerr
Chishiki to hyosho,Yuichiro Anzai
Proceedings of the First International Conference on Intelligent Systems for Molecular Biology,Lawrence Hunter
All of Nonparametric Statistics,Larry Wasserman
Software Verification and Validation,Marcus S. Fisher
"Artificial Intelligence in Theory and Practice: IFIP 19th World Computer Congress, TC 12",Max Bramer
Principles of Data Mining (Undergraduate Topics in Computer Science),Max Bramer
Reasoning About Mental States Formal Theories and Applications,John F. Horty
Artificial Intelligence and Cognitive Science,Andy Clark
Associative engines,Andy Clark
State space models of remote manipulation tasks,Daniel E. Whitney
Introduction to AI and expert systems II,Avron Barr
Reasoning With Diagrammatic Representations,Michael Anderson
"Artificial Intelligence IV: Methodology, Systems, Applications : Proceedings of the Fourth International Conference on Artificial Intelligence",Philippe Jorrand
Dennoteki sozo no hoho,Toshiyasu Kunii
The development of a prototype intelligent user interface subsystem for NASA's scientific database systems,William J. Campbell
La décision artificielle,Danièle Bourcier
Fourth International Conference on Computational Intelligence and Multimedia Applications,"International Conference on Computational Intelligence and Multimedia Applications (4th 2001 Yokusika City, Japan)"
Expert Lexikon künstliche Intelligenz,Stefan Hesse
Proceedings of the 2003 IEEE International Symposium on Intelligent Control,"IEEE International Symposium on Intelligent Control (18th 2003 Houston, Tex.)"
"GWAI-82, 6th German Workshop on Artificial Intelligence","German Workshop on Artificial Intelligence (6th 1982 Bad Honnef, Germany)"
Artificial Intelligence and Intelligent Systems,N. P. Padhy
Automated reasoning with Otter,John Arnold Kalman
From animals to animats 7,International Conference on Simulation of Adaptive Behavior (7th 2002 University of Edinburgh)
Sztuczna inteligencja w politologii,Ziemowit Jacek Pietraś
Latin American Conference on Artificial Intelligence in Petroleum Exploration and Production,"Latin American Conference on Artificial Intelligence in Petroleum Exploration and Production (1991 Rio de Janeiro, Brazil)"
IEEE/WIC/ACM International Conference on Intelligent Agent Technology,"IEEE/WIC International Conference on Intelligent Agent Technology (2004 Beijing, China)"
IEEE/WIC International Conference on Web Intelligence (WI 2004),"IEEE/WIC/ACM International Conference on Intelligent Agent Technology (2004 Beijing, China)"
L' attore sociale,Luciano Gallino
"Mente, comportamento e intelligenza artificiale",Luciano Gallino
Artificial intelligence in logic design,Svetlana N. Yanushkevich
Luo ji xue ji qi ying yong yan jiu,"Quan guo luo ji xi tong zhi neng ke xue yu xin xi ke xue xue shu hui yi (4th 2006 Guiyang Shi, China)"
Case-Based Reasoning Research and Development,"Hutchison, David - undifferentiated"
Simulated Evolution and Learning,Kalyanmoy Deb
Rough Sets and Knowledge Technology,"Hutchison, David - undifferentiated"
Biometrics and ID Management,Claus Vielhauer
Artificial Intelligence and Computational Intelligence,Fu Lee Wang
Agent-Oriented Software Engineering X,Marie-Pierre Gleizes
"Human-Computer Interaction, Tourism and Cultural Heritage",Francisco V. Cipolla-Ficarra
RoboCup 2009: Robot Soccer World Cup XIII,Jacky Baltes
Networked,LK Chapman
Priobretenie znaniĭ intellektualʹnymi sistemami,G. S. Osipov
Nano Contestant - Episode 1,Leif Sterling
"Advances in Data Mining Applications and Theoretical Aspects
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Petra Perner
"Computational Intelligence
            
                Intelligent Systems Reference Library",Lakhmi C. Jain
"Mind and Machine
            
                Palgrave Philosophy Today",Joel Walmsley
Intelligent Computing Theories And Applications 8th International Conference Icic 2012 Huangshan China July 2529 2012 Proceedings,Kang-Hyun Jo
"Engineering General Intelligence
            
                Atlantis Thinking Machines",Nil Geisweiller
"Innovations in Intelligent Machines  1
            
                Studies in Computational Intelligence",Lakhmi C. Jain
Artificial Intelligence And Soft Computing 10th International Conference Icaisc 2010 Zakopane Poland June 1317 2010,Rafal Scherer
Personality Capture And Emulation,William Sims Bainbridge
The Handbook of artificial intelligence,
Intelligent agents VI,Nick Jennings
Intelligent problem solving,
Scalable Uncertainty Management,Lluís Godo
Theory And Applications Of Satisfiability Testing Sat 2012 15th International Conference Trento Italy June 1720 2012 Proceedings,Roberto Sebastiani
Advanced Intelligent Computing Theories And Applications 6th International Conference On Intelligent Computing Icic 2010 Changsha China August 1821 2010 Proceedings,Laurent Heutte
"Privacy and Security Issues in Data Mining and Machine Learning
            
                Lecture Notes in Artificial Intelligence",Aris Gkoulalas-Divanis
"Data Mining and Computational Intelligence
            
                Studies in Fuzziness and Soft Computing",Horst Bunke
Deontic Logic In Computer Science 11th International Conference Deon 2012 Bergen Norway July 1618 2012 Proceedings,Jan M. Broersen
Computational Logic In Multiagent Systems 12th International Workshop Clima Xii Barcelona Spain July 1718 2011 Proceedings,Joao Leite
Dna Computing And Molecular Programming 15th International Conference Dna 15 Fayetteville Ar Usa June 811 2009 Revised Selected Papers,Russell Deaton
Social Informatics Third International Conference Socinfo 2011 Singapore October 68 2011 Proceedings,Anwitaman Datta
"Advances in Intelligent Web Mastering  2
            
                Advances in Intelligent and Soft Computing",Vaclav Snaael
"Advanced Data Mining and Applications
            
                Lecture Notes in Artificial Intelligence",Jian Pei
"Implementation and Application of Functional Languages
            
                Lecture Notes in Computer Science",Sven-Bodo Scholz
"Functional and Logic Programming
            
                Lecture Notes in Computer Science",Tom Schrijvers
"Three Approaches to Data Analysis
            
                Intelligent Systems Reference Library",Vadim Lozin
Data Fusion In Information Retrieval,Shengli Wu
"Game Theory for Networks
            
                Lecture Notes of the Institute for Computer Sciences Social",Rahul Jain
Smart Information And Knowledge Management Advances Challenges And Critical Issues,Ngọc Thanh Nguyễn
Algebraic Methodology And Software Technology 13th International Conference Amast 2010 Lacbeauport Qc Canada June 2325 2010 Revised Selected Papers,Dusko Pavlovic
Neosentience The Benevolence Engine,Bill Seaman
"Agent and MultiAgent Systems Technologies and Applications
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Piotr Jedrzejowicz
Applications Of Soft Computing Updating The State Of Art,Keshav Dahal
Evolvable Systems From Biology To Hardware 8th International Conference Ices 2008 Prague Czech Republic September 2124 2008 Proceedings,Lukas Sekanina
Workshop On Learning Technology For Education In Cloud Ltec12,Lorna Uden
Transactions On Computational Science Xiv Special Issue On Voronoi Diagrams And Delaunay Triangulation,Marina L. Gavrilova
Research In Computational Molecular Biology 14th Annual International Conference Recomb 2010 Lisbon Portugal April 2528 2010 Proceedings,Bonnie Berger
Machine Learning And Knowledge Discovery In Databases,Walter Daelemans
Web Information Systems Engineering Wise 2008 Workshops Proceedings,Markus Kirchberg
Database Theory And Application Bioscience And Biotechnology International Conferences Proceedings,Alfredo Cuzzocrea
"Reinforcement Learning
            
                Adaptation Learning and Optimization",Marco Wiering
Shall We Play the Festschrift Game,Wanjiku Ng Ang a.
Statistical Reinforcement Learning,Tetsuro Morimura
Extremal Fuzzy Dynamic Systems Theory And Applications,Gia Sirbiladze
Computational Analysis Of Terrorist Groups Lashkaretaiba,Amy Sliva
Spatial Temporal Patterns For Actionoriented Perception In Roving Robots,Luca Patane
Stability Analysis Of Fuzzymodelbased Control Systems Linearmatrixinequality Approach,F. H. F. Leung
Springer Handbook Of Automation,Shimon Y. Nof
Medical Image Computing and Computer-Assisted Intervention – MICCAI 2009,Guang-Zhong Yang
Biometric ID Management and Multimodal Communication,Julian Fierrez
Belief Revision In Nonclassical Logics,M. Rcio Moretto Ribeiro
Developments In Language Theory 14th International Conference Dlt 2010 London On Canada August 1720 2010 Proceedings,Yuan Gao
"Robocup 2010
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Eric Chown
"Proceedings of the Third International Conference on Intelligent Human Computer Interaction Ihci 2011 Prague Czech Republic August 2011
            
                Advances in Intelligent Systems and Computing",Vaclav Snasel
Intelligent Interactive Systems In Knowledgebased Environments,Lakhmi C. Jain
"Recent Advances in Reinforcement Learning
            
                Lecture Notes in Artificial Intelligence",Sertan Girgin
Multiagent System Technologies 9th German Conference Proceedings,Franziska Klugl
Theory And Practice Of Computation Workshop On Computation Theory And Practice Quezon City Philippines September 2011 Proceedings,Jaime D. L. Caro
Adaptive Logics For Defeasible Reasoning,Christian Strasser
"Advances in Computer Science and Engineering
            
                Advances in Intelligent and Soft Computing",Dehuai Zeng
Artificial Immune Systems 7th International Conference Icaris 2008 Phuket Thailand August 1013 2008 Proceedings,"Bentley, Peter"
Knowledge Science Engineering And Management Third International Conference Ksem 2009 Vienna Austria November 2527 2009 Proceedings,Zhi Jin
Signal Processing And Information Technology First International Joint Conference Spit 2011 Amsterdam The Netherlands December 12 2011 Revised Selected Papers,Ezendu Ariwa
"Hybrid Learning
            
                Lecture Notes in Computer Science  Theoretical Computer Sci",Simon K. S. Cheung
A Rapid Introduction To Adaptive Filtering,Hernan Rey
Artificial Intelligence And Creativity An Interdisciplinary Approach,T. Dartnall
Handbook Of Computational Approaches To Counterterrorism,V. S. Subrahmanian
Advances In Computer Science Engineering And Applications,Dhinaharan Nagamalai
Mind And Machine,Joel Walmsley
Intelligent Text Categorization And Clustering,Janusz Kacprzyk
"Agents and PeerToPeer Computing
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Domenico Beneventano
Semantics And Algebraic Specification Essays Dedicated To Peter D Mosses On The Occasion Of His 60th Birthday,Jens Palsberg
"Persuasive Technology
            
                Lecture Notes in Computer Science",Yvonne de Kort
"Soft Computing Models in Industrial and Environmental Applications
            
                Advances in Intelligent Systems and Computing",Emilio S. Corchado
Language Games And Evolution Trends In Current Research On Language And Game Theory,Anton Benz
"Advances in CaseBased Reasoning
            
                Lecture Notes in Artificial Intelligence",Klaus-Dieter Althoff
"Aspects of Computational Intelligence Theory and Applications
            
                Topics in Intelligent Engineering and Informatics",Ladislav Madar Sz
"Distributed Computing
            
                Lecture Notes in Computer Science",David Peleg
Handbook Of Swarm Intelligence Concepts Principles And Applications,Bijaya Ketan Panigrahi
Research and Development in Intelligent Systems XXVI,Max Bramer
Continuum Damage Mechanics and Numerical Applications,Wohua Zhang
"Artificial Intelligence and Education Vol 1 Learning Environments and Tutoring Systems
            
                Artificial Intelligence and Education",Robert W. Lawler
Physicomimetics,Diana F. Spears
"Integration of AI and OR Techniques in Constraint Programming for Combinatorial Optimization Problems
            
                Lecture Notes in Computer Science",Nicolas Beldiceanu
"Structure Discovery in Natural Language
            
                Theory and Applications of Natural Language Processing",Antal van den Bosch
"Intelligent Video Event Analysis and Understanding
            
                Studies in Computational Intelligence",Jianguo Zhang
"On Collective Intelligence
            
                Advances in Intelligent and Soft Computing",Theo Bastiaens
How To Build A Brain A Neural Architecture For Biological Cognition,Chris Eliasmith
Research In Computational Molecular Biology 15th Annual International Conference Recomb 2011 Vancouver Bc Canada March 2831 2011 Proceedings,Vineet Bafna
Shrapnel minima,Prasanta Chakravarty
Information Theory in Computer Vision and Pattern Recognition,Francisco Escolano
Knowledge-Driven Multimedia Information Extraction and Ontology Evolution,Georgios Paliouras
The Semantic Web – ISWC 2011,Lora Aroyo
Advanced Language Technologies for Digital Libraries,Raffaella Bernardi
Computational Collective Intelligence. Technologies and Applications,Piotr Jędrzejowicz
Knowlege-Based and Intelligent Information and Engineering Systems,Andreas König
Foundations on Natural and Artificial Computation,José Manuel Ferrández
Modular Neural Networks and Type-2 Fuzzy Systems for Pattern Recognition,Patricia Melin
"Linkage in Evolutionary Computation
            
                Studies in Computational Intelligence",Ying-ping Chen
"Applications of Soft Computing
            
                Advances in Intelligent and Soft Computing",Ashutosh Tiwari
Coevolution Of Intelligent Sociotechnical Systems Modelling And Applications In Large Scale Emergency And Transport Domains,Eve Mitleton
Combinations Of Intelligent Methods And Applications Proceedings,Ioannis Hatzilygeroudis
Emerging Trends In Knowledge Discovery And Data Mining Pakdd 2012,Takashi Washio
Advances In Image And Graphics Technologies Chinese Conference Igta 2013 Beijing China April 23 2013 Proceedings,Tieniu Tan
Ict Innovations 2012 Secure And Intelligent Systems,ICT Innovations
Knowledge Engineering Machine Learning and Lattice Computing with Applications,Manuel Gra
Your Virtual Butler,Robert Trappl
New Frontiers In Mining Complex Patterns First International Workshop Nfmcp 2012 Held In Conjunction With Ecmlpkdd 2012 Bristol Uk September 24 2012 Rivesed Selected Papers,Annalisa Appice
Advances In Probabilistic Databases For Uncertain Information Management,Zongmin Ma
Intention Recognition Commitment And Their Roles In The Evolution Of Cooperation From Artificial Intelligence Techniques To Evolutionary Game Theory Models,The Anh
Quality Issues In The Management Of Web Information,Gabriella Pasi
"The Deductive Spreadsheet
            
                Cognitive Technologies",Iliano Cervesato
Automated Deduction Cade24,Maria Paola
Recent Trends In Applied Artificial Intelligence 26th International Conference On Industrial Engineering And Other Applications Of Applied Intelligent Systems Ieaaie 2013 Amsterdam The Netherlands June 1721 2013 Proceedings,Moonis Ali
Humancomputer Interaction And Knowledge Discovery In Complex Unstructured Big Data Third International Workshop Hcikdd 2013 Held At Southchi 2013 Maribor Slovenia July 13 2013 Proceedings,Andreas Holzinger
Robotics In Smart Manufacturing International Workshop Wrsm 2013 Colocated With Faim 2013 Porto Portugal June 2628 2013 Proceedings,Pedro Neto
Robocup 2012 Robot Soccer World Cup Xvi,Xiaoping Chen
Virtual Augmented and Mixed Reality,Randall Paul
Inclusive Society Health And Wellbeing In The Community And Care At Home 11th International Conference On Smart Homes And Health Telematics Icost 2013 Singapore June 1921 2013 Proceedings,Jit Biswas
Theory Practice And Applications Of Rules On The Web 7th International Symposium Ruleml 2013 Seattle Wa Usa July 1113 2013 Proceedings,Leora Morgenstern
Unifying Theories Of Programming And Formal Engineering Methods International Training School On Software Engineering Held At Ictac 2013 Shanghai China August 2630 2013 Advanced Lectures,Zhiming Liu
Reasoning Web Semantic Technologies For Intelligent Data Access 9th International Summer School 2013 Mannheim Germany July 30 August 2 2013 Proceedings,Sebastian Rudolph
Data Management In Cloud Grid And P2p Systems,Abdelkader Hameurlain
Multilingual Information Access In South Asian Languages Second International Workshop Fire 2010 Gandhinagar India February 1921 2010 And Third International Workshop Fire 2011 Bombay India December 24 2011 Revised Selected Papers,Prasenjit Majumder
"Information Search Integration and Personalization
            
                Communications in Computer and Information Science",Yuzuru Tanaka
Computer Analysis Of Images And Patterns 15th International Conference Caip 2013 York Uk August 2729 2013 Proceedings Part I,Richard Wilson
Intelligent Robotics Systems Inspiring The Next 16th Fira Roboworld Congress Fira 2013 Kuala Lumpur Malaysia August 2429 2013 Proceedings,Khairuddin Omar
Soft Computing Applications And Intelligent Systems Second International Multiconference On Artificial Intelligence Technology Mcait 2013 Shah Alam August 2829 2013 Proceedings,Shahrul Azman
Security Engineering And Intelligence Informatics Cdares 2013 Workshops Mocrysen And Secihd Regensburg Germany September 26 2013 Proceedings,Alfredo Cuzzocrea
Scaling Up Learning For Sustained Impact 8th European Conference On,Davinia Hern
Knowledge Engineering And The Semantic Web 4th Conference Kesw 2013 St,Pavel Klinov
Multimodal Communication in Political Speech Shaping Minds and Social Action,Isabella Poggi
Transactions On Computational Collective Intelligence Xi,Ngoc Thanh
Intelligence Science And Intelligent Data Engineering 4th Sinoforeigninterchange Conference Iscide 2013 Beijing China July 31 August 2 2013 Revised Selected Papers,Changyin Sun
Chinese Lexical Semantics 14th Workshop Clsw 2013 Zhengzhou China May 1012 2013 Revised Selected Papers,Pengyuan Liu
Transactions On Computational Collective Intelligence Xii,Ngoc Thanh
Pattern Recognition in Bioinformatics,Visakan Kadirkamanathan
Advances in Artificial Intelligence – IBERAMIA 2010,Angel Kuri-Morales
Computer Vision – ACCV 2010,Ron Kimmel
Multicriteria Decision Aid And Artificial Intelligence Links Theory And Applications,Michael Doumpos
Intelligent Tutoring Systems,Vincent A. W. M. M. Aleven
Random Finite Sets for Robot Mapping and SLAM,John Mullane
KI 2010: Advances in Artificial Intelligence,R. Dillmann
Emotions Of Animals And Humans Comparative Perspectives,Shigeru Watanabe
Proceedings Of International Conference On Soft Computing Techniques And Engineering Application Icsctea 2013 September 2527 2013 Kunming China,International Conference
Intelligent Computer Mathematics 9th International Conference Aisc 2008 15th Symposium Calculemus 2008 7th International Conference Mkm 2008 Birmingham Uk July 28 August 1 2008 Proceedings,Serge Autexier
Holonic And Multiagent Systems For Manufacturing 5th International Conference On Industrial Applications Of Holonic And Multiagent Systems Holomas 2011 Toulouse France August 29 31 2011 Proceedings,Vladimir Marik
Computational Neuroscience For Advancing Artificial Intelligence Models Methods And Applications,Eduardo Alonso
User Modeling Adaptation And Personalization 20th International Conference Umap 2012 Montreal Canada July 1620 2012 Proceedings,Michel Desmarais
Markov Models For Pattern Recognition From Theory To Applications,Gernot A. Fink
Intelligent Computing Technology 8th International Conference Icic 2012 Huangshan China July 2529 2012 Proceedings,De-Shuang Huang
Introducing Spoken Dialogue Systems Into Intelligent Environments,Tobias Heinroth
Logic Programming 24th International Conference Iclp 2008 Udine Italy December 913 2008 Proceedings,Enrico Pontelli
"Is Olympics Information Systems in a Diverse World
            
                Lecture Notes in Business Information Processing",Selmin Nurcan
Computational Intelligence in Engineering,Imre J. Rudas
"Designing E-Business Systems. Markets, Services, and Networks",Christof Weinhardt
Real-time vision for human-computer interaction,"Branislav Kisačanin, Vladimir Pavlović, Thomas S. Huang"
Journal on Data Semantics XV,S. Spaccapietra
Advances in Robotics,Jong-Hwan Kim
Principles and Practice of Constraint Programming – CP 2011,Jimmy Lee
Metaheuristics for Scheduling in Industrial and Manufacturing Applications,Janusz Kacprzyk
Web-Age Information Management,"Wang, Haixun Ph. D."
Ai 2010 Advances In Artificial Intelligence 23rd Australasian Joint Conference Adelaide Australia December 2010 Proceedings,Jiuyong Li
Flexible Manipulators Modeling Analysis And Optimum Design,Yanqing Gao
Mobile Computing Applications And Services Second International Icst Conference Mobicase 2010 Santa Clara Ca Usa October 2528 2010 Revised Selected Papers,Guang Yang
Genetic Programming 14th European Conference Eurogp 2011 Torino Italy April 2729 2011 Proceedings,James A. Foster
Shape Understanding System The First Steps Toward The Visual Thinking Machines,Magdalena Les
Machine Learning For Computer Vision,Sebastiano Battiato
"Biomimetic and Biohybrid Systems
            
                Lecture Notes in Computer Science  Lecture Notes in Artific",Tony T. Prescott
"Nostradamus
            
                Advances in Intelligent Systems and Computing",Ivan Zelinka
Anaphora Processing And Applications 8th Discourse Anaphora And Anaphor Resolution Colloquium Daarc 2011 Faro Portugal October 67 2011,Sobha Lalitha Devi
Image Analysis And Recognition 4th International Conference Iciar 2007 Montreal Canada August 2224 2007 Proceedings,Aurelio Campilho
Flexible Query Answering Systems,Henning Christiansen
Advances In Practical Applications Of Agents And Multiagent Systems 8th International Conference On Practical Applications Of Agents And Multiagent Systems Paams 2010,Yves Demazeau
Engineering Societies In The Agents World X 10th International Workshop Esaw 2009 Utrecht The Netherlands November 1820 2009 Proceedings,Gauthier Picard
